SIZE,DISTANCE,AIRFLOW,FREQUENCY,STATUS,DESIBEL_DISCRETE
6,10,0,75,non_extinction,0
6,10,0,72,non_extinction,0
6,10,2.6,70,non_extinction,0
6,10,3.2,68,non_extinction,0
6,10,4.5,67,non_extinction,1
6,10,7.8,66,non_extinction,1
6,10,9.7,65,extinction,1
6,10,12,60,extinction,0
6,10,13.3,55,extinction,1
6,10,15.4,52,extinction,0
6,10,15.1,51,extinction,0
6,10,15.2,50,extinction,0
6,10,15.4,48,extinction,1
6,10,15.2,47,extinction,1
6,10,15.4,46,extinction,1
6,10,15.2,45,extinction,1
6,10,16,44,extinction,1
6,10,15.7,42,extinction,1
6,10,15.4,40,extinction,1
6,10,15.5,38,extinction,1
6,10,15.2,36,extinction,1
6,10,14.9,35,extinction,1
6,10,14.9,34,extinction,1
6,10,14.9,33,extinction,1
6,10,15.1,32,extinction,1
6,10,17,30,extinction,1
6,10,15.5,28,extinction,1
6,10,15.4,27,extinction,1
6,10,15.5,26,extinction,1
6,10,16.6,25,extinction,1
6,10,15.2,24,extinction,1
6,10,15.4,23,extinction,1
6,10,15.4,22,extinction,1
6,10,15.2,21,extinction,1
6,10,15.7,20,extinction,1
6,10,15.2,19,extinction,1
6,10,15.1,18,extinction,1
6,10,14.5,17,extinction,1
6,10,13.8,16,extinction,1
6,10,14.4,15,extinction,1
6,10,12.3,14,extinction,1
6,10,11.9,13,extinction,0
6,10,11.9,12,extinction,0
6,10,12.5,11,extinction,0
6,10,13.8,10,extinction,1
6,10,12.9,9,extinction,0
6,10,12.9,8,extinction,1
6,10,12.3,7,extinction,1
6,10,11.8,6,extinction,0
6,10,11,5,extinction,0
6,10,8.8,4,non_extinction,0
6,10,6,3,non_extinction,0
6,10,3.1,2,non_extinction,0
6,10,0.8,1,non_extinction,0
6,20,0,75,non_extinction,0
6,20,0,72,non_extinction,0
6,20,1,70,non_extinction,1
6,20,1.1,68,non_extinction,1
6,20,4,67,non_extinction,0
6,20,6.5,66,non_extinction,1
6,20,7.5,65,extinction,1
6,20,9,60,extinction,0
6,20,12,55,extinction,1
6,20,15,52,extinction,1
6,20,14.6,51,extinction,1
6,20,15.2,50,extinction,1
6,20,14.9,48,extinction,1
6,20,15.5,47,extinction,1
6,20,16,46,extinction,0
6,20,16.3,45,extinction,0
6,20,16,44,extinction,0
6,20,16,42,extinction,0
6,20,15.5,40,extinction,1
6,20,15.2,38,extinction,0
6,20,15.2,36,extinction,0
6,20,15,35,extinction,0
6,20,15.2,34,extinction,1
6,20,14.8,33,extinction,1
6,20,14.1,32,extinction,0
6,20,13.5,30,extinction,1
6,20,13.3,28,extinction,0
6,20,13.3,27,extinction,0
6,20,12.8,26,extinction,1
6,20,13.8,25,extinction,1
6,20,13.3,24,extinction,1
6,20,13.8,23,extinction,0
6,20,13.6,22,extinction,0
6,20,13.2,21,extinction,0
6,20,13.2,20,extinction,1
6,20,13.5,19,extinction,0
6,20,13.2,18,extinction,0
6,20,12.8,17,extinction,0
6,20,12.3,16,extinction,0
6,20,12.3,15,extinction,1
6,20,11.5,14,extinction,0
6,20,11.2,13,extinction,0
6,20,11.9,12,extinction,0
6,20,11.5,11,extinction,0
6,20,12.3,10,extinction,1
6,20,12,9,extinction,0
6,20,12.2,8,extinction,0
6,20,11.5,7,extinction,0
6,20,11,6,extinction,0
6,20,9.6,5,extinction,1
6,20,7.8,4,non_extinction,0
6,20,5,3,non_extinction,0
6,20,3.7,2,non_extinction,0
6,20,1,1,non_extinction,0
6,30,0,75,non_extinction,1
6,30,0,72,non_extinction,0
6,30,0.4,70,non_extinction,1
6,30,0.4,68,non_extinction,1
6,30,2.2,67,non_extinction,0
6,30,5,66,non_extinction,1
6,30,7,65,extinction,1
6,30,6.5,60,extinction,0
6,30,14.4,55,extinction,1
6,30,13.3,52,extinction,1
6,30,13.8,51,extinction,1
6,30,14.8,50,extinction,1
6,30,15.4,48,extinction,1
6,30,15.5,47,extinction,1
6,30,16,46,extinction,1
6,30,16,45,extinction,1
6,30,16.3,44,extinction,1
6,30,16.1,42,extinction,1
6,30,15.2,40,extinction,1
6,30,15.2,38,extinction,1
6,30,14.8,36,extinction,1
6,30,14.4,35,extinction,1
6,30,14.2,34,extinction,1
6,30,13.2,33,extinction,0
6,30,14.2,32,extinction,0
6,30,13.5,30,extinction,0
6,30,12.3,28,extinction,0
6,30,12,27,extinction,0
6,30,12.5,26,extinction,0
6,30,11.5,25,extinction,1
6,30,12.3,24,extinction,1
6,30,11.5,23,extinction,1
6,30,11.9,22,extinction,0
6,30,12,21,extinction,0
6,30,11.5,20,extinction,1
6,30,12.3,19,extinction,0
6,30,11.6,18,extinction,0
6,30,11,17,extinction,0
6,30,10.9,16,extinction,0
6,30,10.3,15,extinction,0
6,30,10.7,14,extinction,0
6,30,10,13,extinction,0
6,30,10.7,12,extinction,0
6,30,10.9,11,extinction,0
6,30,12,10,extinction,0
6,30,11.8,9,extinction,0
6,30,11.3,8,extinction,0
6,30,11.3,7,extinction,0
6,30,11,6,extinction,0
6,30,10.2,5,extinction,0
6,30,9.2,4,non_extinction,0
6,30,7.4,3,non_extinction,0
6,30,4.5,2,non_extinction,0
6,30,0,1,non_extinction,0
6,40,0,75,non_extinction,1
6,40,0,72,non_extinction,0
6,40,0,70,non_extinction,0
6,40,0,68,non_extinction,0
6,40,1.3,67,non_extinction,0
6,40,3.2,66,non_extinction,1
6,40,4.5,65,extinction,1
6,40,12.3,60,extinction,1
6,40,9.2,55,extinction,1
6,40,13.9,52,extinction,1
6,40,13.9,51,extinction,0
6,40,13.5,50,extinction,0
6,40,14.5,48,extinction,0
6,40,14.4,47,extinction,1
6,40,14.5,46,extinction,1
6,40,14.9,45,extinction,1
6,40,15.2,44,extinction,1
6,40,15.2,42,extinction,1
6,40,14.8,40,extinction,1
6,40,14.4,38,extinction,1
