SIZE,FUEL,DISTANCE,AIRFLOW,FREQUENCY,STATUS,DESIBEL_DISCRETE
1,gasoline,10,0,75,non_extinction,0
1,gasoline,10,0,72,extinction,0
1,gasoline,10,2.6,70,extinction,0
1,gasoline,10,3.2,68,extinction,0
1,gasoline,10,4.5,67,extinction,1
1,gasoline,10,7.8,66,extinction,1
1,gasoline,10,9.7,65,extinction,1
1,gasoline,10,12,60,extinction,0
1,gasoline,10,13.3,55,extinction,1
1,gasoline,10,15.4,52,extinction,0
1,gasoline,10,15.1,51,extinction,0
1,gasoline,10,15.2,50,extinction,0
1,gasoline,10,15.4,48,extinction,1
1,gasoline,10,15.2,47,extinction,1
1,gasoline,10,15.4,46,extinction,1
1,gasoline,10,15.2,45,extinction,1
1,gasoline,10,16,44,extinction,1
1,gasoline,10,15.7,42,extinction,1
1,gasoline,10,15.4,40,extinction,1
1,gasoline,10,15.5,38,extinction,1
1,gasoline,10,15.2,36,extinction,1
1,gasoline,10,14.9,35,extinction,1
1,gasoline,10,14.9,34,extinction,1
1,gasoline,10,14.9,33,extinction,1
1,gasoline,10,15.1,32,extinction,1
1,gasoline,10,17,30,extinction,1
1,gasoline,10,15.5,28,extinction,1
1,gasoline,10,15.4,27,extinction,1
1,gasoline,10,15.5,26,extinction,1
1,gasoline,10,16.6,25,extinction,1
1,gasoline,10,15.2,24,extinction,1
1,gasoline,10,15.4,23,extinction,1
1,gasoline,10,15.4,22,extinction,1
1,gasoline,10,15.2,21,extinction,1
1,gasoline,10,15.7,20,extinction,1
1,gasoline,10,15.2,19,extinction,1
1,gasoline,10,15.1,18,extinction,1
1,gasoline,10,14.5,17,extinction,1
1,gasoline,10,13.8,16,extinction,1
1,gasoline,10,14.4,15,extinction,1
1,gasoline,10,12.3,14,extinction,1
1,gasoline,10,11.9,13,extinction,0
1,gasoline,10,11.9,12,extinction,0
1,gasoline,10,12.5,11,extinction,0
1,gasoline,10,13.8,10,extinction,1
1,gasoline,10,12.9,9,extinction,0
1,gasoline,10,12.9,8,extinction,1
1,gasoline,10,12.3,7,extinction,1
1,gasoline,10,11.8,6,extinction,0
1,gasoline,10,11,5,extinction,0
1,gasoline,10,8.8,4,extinction,0
1,gasoline,10,6,3,extinction,0
1,gasoline,10,3.1,2,extinction,0
1,gasoline,10,0.8,1,extinction,0
1,gasoline,20,0,75,non_extinction,0
1,gasoline,20,0,72,non_extinction,0
1,gasoline,20,1,70,extinction,1
1,gasoline,20,1.1,68,extinction,1
1,gasoline,20,4,67,extinction,0
1,gasoline,20,6.5,66,extinction,1
1,gasoline,20,7.5,65,extinction,1
1,gasoline,20,9,60,extinction,0
1,gasoline,20,12,55,extinction,1
1,gasoline,20,15,52,extinction,1
1,gasoline,20,14.6,51,extinction,1
1,gasoline,20,15.2,50,extinction,1
1,gasoline,20,14.9,48,extinction,1
1,gasoline,20,15.5,47,extinction,1
1,gasoline,20,16,46,extinction,0
1,gasoline,20,16.3,45,extinction,0
1,gasoline,20,16,44,extinction,0
1,gasoline,20,16,42,extinction,0
1,gasoline,20,15.5,40,extinction,1
1,gasoline,20,15.2,38,extinction,0
1,gasoline,20,15.2,36,extinction,0
1,gasoline,20,15,35,extinction,0
1,gasoline,20,15.2,34,extinction,1
1,gasoline,20,14.8,33,extinction,1
1,gasoline,20,14.1,32,extinction,0
1,gasoline,20,13.5,30,extinction,1
1,gasoline,20,13.3,28,extinction,0
1,gasoline,20,13.3,27,extinction,0
1,gasoline,20,12.8,26,extinction,1
1,gasoline,20,13.8,25,extinction,1
1,gasoline,20,13.3,24,extinction,1
1,gasoline,20,13.8,23,extinction,0
1,gasoline,20,13.6,22,extinction,0
1,gasoline,20,13.2,21,extinction,0
1,gasoline,20,13.2,20,extinction,1
1,gasoline,20,13.5,19,extinction,0
1,gasoline,20,13.2,18,extinction,0
1,gasoline,20,12.8,17,extinction,0
1,gasoline,20,12.3,16,extinction,0
1,gasoline,20,12.3,15,extinction,1
1,gasoline,20,11.5,14,extinction,0
1,gasoline,20,11.2,13,extinction,0
1,gasoline,20,11.9,12,extinction,0
1,gasoline,20,11.5,11,extinction,0
1,gasoline,20,12.3,10,extinction,1
1,gasoline,20,12,9,extinction,0
1,gasoline,20,12.2,8,extinction,0
1,gasoline,20,11.5,7,extinction,0
1,gasoline,20,11,6,extinction,0
1,gasoline,20,9.6,5,extinction,1
1,gasoline,20,7.8,4,extinction,0
1,gasoline,20,5,3,extinction,0
1,gasoline,20,3.7,2,extinction,0
1,gasoline,20,1,1,non_extinction,0
1,gasoline,30,0,75,non_extinction,1
1,gasoline,30,0,72,non_extinction,0
1,gasoline,30,0.4,70,extinction,1
1,gasoline,30,0.4,68,extinction,1
1,gasoline,30,2.2,67,extinction,0
1,gasoline,30,5,66,extinction,1
1,gasoline,30,7,65,extinction,1
1,gasoline,30,6.5,60,extinction,0
1,gasoline,30,14.4,55,extinction,1
1,gasoline,30,13.3,52,extinction,1
1,gasoline,30,13.8,51,extinction,1
1,gasoline,30,14.8,50,extinction,1
1,gasoline,30,15.4,48,extinction,1
1,gasoline,30,15.5,47,extinction,1
1,gasoline,30,16,46,extinction,1
1,gasoline,30,16,45,extinction,1
1,gasoline,30,16.3,44,extinction,1
1,gasoline,30,16.1,42,extinction,1
1,gasoline,30,15.2,40,extinction,1
1,gasoline,30,15.2,38,extinction,1
1,gasoline,30,14.8,36,extinction,1
1,gasoline,30,14.4,35,extinction,1
1,gasoline,30,14.2,34,extinction,1
1,gasoline,30,13.2,33,extinction,0
1,gasoline,30,14.2,32,extinction,0
1,gasoline,30,13.5,30,extinction,0
1,gasoline,30,12.3,28,extinction,0
1,gasoline,30,12,27,extinction,0
1,gasoline,30,12.5,26,extinction,0
1,gasoline,30,11.5,25,extinction,1
1,gasoline,30,12.3,24,extinction,1
1,gasoline,30,11.5,23,extinction,1
1,gasoline,30,11.9,22,extinction,0
1,gasoline,30,12,21,extinction,0
1,gasoline,30,11.5,20,extinction,1
1,gasoline,30,12.3,19,extinction,0
1,gasoline,30,11.6,18,extinction,0
1,gasoline,30,11,17,extinction,0
1,gasoline,30,10.9,16,extinction,0
1,gasoline,30,10.3,15,extinction,0
1,gasoline,30,10.7,14,extinction,0
1,gasoline,30,10,13,extinction,0
1,gasoline,30,10.7,12,extinction,0
1,gasoline,30,10.9,11,extinction,0
1,gasoline,30,12,10,extinction,0
1,gasoline,30,11.8,9,extinction,0
1,gasoline,30,11.3,8,extinction,0
1,gasoline,30,11.3,7,extinction,0
1,gasoline,30,11,6,extinction,0
1,gasoline,30,10.2,5,extinction,0
1,gasoline,30,9.2,4,extinction,0
1,gasoline,30,7.4,3,extinction,0
1,gasoline,30,4.5,2,extinction,0
1,gasoline,30,0,1,non_extinction,0
1,gasoline,40,0,75,non_extinction,1
1,gasoline,40,0,72,non_extinction,0
1,gasoline,40,0,70,non_extinction,0
1,gasoline,40,0,68,non_extinction,0
1,gasoline,40,1.3,67,extinction,0
1,gasoline,40,3.2,66,extinction,1
1,gasoline,40,4.5,65,extinction,1
1,gasoline,40,12.3,60,extinction,1
1,gasoline,40,9.2,55,extinction,1
1,gasoline,40,13.9,52,extinction,1
1,gasoline,40,13.9,51,extinction,0
1,gasoline,40,13.5,50,extinction,0
1,gasoline,40,14.5,48,extinction,0
1,gasoline,40,14.4,47,extinction,1
1,gasoline,40,14.5,46,extinction,1
1,gasoline,40,14.9,45,extinction,1
1,gasoline,40,15.2,44,extinction,1
1,gasoline,40,15.2,42,extinction,1
1,gasoline,40,14.8,40,extinction,1
1,gasoline,40,14.4,38,extinction,1
1,gasoline,40,14.4,36,extinction,1
1,gasoline,40,14.9,35,extinction,1
1,gasoline,40,14.4,34,extinction,1
1,gasoline,40,14.4,33,extinction,1
1,gasoline,40,14.5,32,extinction,1
1,gasoline,40,14.9,30,extinction,0
1,gasoline,40,14.1,28,extinction,0
1,gasoline,40,14.4,27,extinction,0
1,gasoline,40,13.5,26,extinction,1
1,gasoline,40,13.5,25,extinction,0
1,gasoline,40,12.5,24,extinction,0
1,gasoline,40,12.3,23,extinction,0
1,gasoline,40,13.2,22,extinction,0
1,gasoline,40,13.1,21,extinction,0
1,gasoline,40,12.3,20,extinction,0
1,gasoline,40,12,19,extinction,0
1,gasoline,40,11.5,18,extinction,0
1,gasoline,40,11.3,17,extinction,0
1,gasoline,40,11.5,16,extinction,0
1,gasoline,40,10.4,15,extinction,0
1,gasoline,40,10.9,14,extinction,0
1,gasoline,40,10,13,extinction,0
1,gasoline,40,10,12,extinction,0
1,gasoline,40,10.3,11,extinction,0
1,gasoline,40,10,10,extinction,0
1,gasoline,40,11.3,9,extinction,0
1,gasoline,40,11.5,8,extinction,0
1,gasoline,40,11,7,extinction,0
1,gasoline,40,11.2,6,extinction,0
1,gasoline,40,10,5,extinction,0
1,gasoline,40,9.2,4,extinction,0
1,gasoline,40,7.4,3,extinction,0
1,gasoline,40,4.5,2,extinction,0
1,gasoline,40,0,1,non_extinction,0
1,gasoline,50,0,75,non_extinction,0
1,gasoline,50,0,72,non_extinction,0
1,gasoline,50,0,70,non_extinction,0
1,gasoline,50,0,68,non_extinction,1
1,gasoline,50,0,67,non_extinction,1
1,gasoline,50,2.8,66,extinction,1
1,gasoline,50,4,65,extinction,1
1,gasoline,50,11.2,60,extinction,1
1,gasoline,50,6.4,55,extinction,0
1,gasoline,50,13.2,52,extinction,1
1,gasoline,50,12.5,51,extinction,1
1,gasoline,50,13.2,50,extinction,1
1,gasoline,50,13.4,48,extinction,1
1,gasoline,50,13.5,47,extinction,1
1,gasoline,50,13.3,46,extinction,1
1,gasoline,50,14.4,45,extinction,1
1,gasoline,50,14.9,44,extinction,0
1,gasoline,50,14.9,42,extinction,0
1,gasoline,50,13.6,40,extinction,0
1,gasoline,50,14.3,38,extinction,0
1,gasoline,50,14.5,36,extinction,1
1,gasoline,50,14.2,35,extinction,1
1,gasoline,50,14.1,34,extinction,1
1,gasoline,50,14.4,33,extinction,1
1,gasoline,50,14.1,32,extinction,1
1,gasoline,50,14.2,30,extinction,1
1,gasoline,50,13.5,28,extinction,1
1,gasoline,50,13.5,27,extinction,1
1,gasoline,50,13.3,26,extinction,1
1,gasoline,50,12.5,25,extinction,1
1,gasoline,50,12.9,24,extinction,1
1,gasoline,50,12.3,23,extinction,0
1,gasoline,50,12.5,22,extinction,1
1,gasoline,50,12.5,21,extinction,1
1,gasoline,50,11.5,20,extinction,1
1,gasoline,50,12.5,19,extinction,1
1,gasoline,50,12,18,extinction,1
1,gasoline,50,10.6,17,extinction,0
1,gasoline,50,10.4,16,extinction,0
1,gasoline,50,10.3,15,extinction,0
1,gasoline,50,11,14,extinction,0
1,gasoline,50,10,13,extinction,0
1,gasoline,50,9.9,12,extinction,0
1,gasoline,50,10.3,11,extinction,0
1,gasoline,50,10.3,10,extinction,0
1,gasoline,50,10.2,9,extinction,0
1,gasoline,50,11.2,8,extinction,0
1,gasoline,50,11.3,7,extinction,0
1,gasoline,50,10.5,6,extinction,0
1,gasoline,50,9.3,5,extinction,0
1,gasoline,50,8.3,4,extinction,0
1,gasoline,50,5.8,3,extinction,0
1,gasoline,50,3.2,2,non_extinction,0
1,gasoline,50,0,1,non_extinction,0
1,gasoline,60,0,75,non_extinction,1
1,gasoline,60,0,72,non_extinction,1
1,gasoline,60,0,70,non_extinction,1
1,gasoline,60,0,68,non_extinction,1
1,gasoline,60,2.8,67,non_extinction,0
1,gasoline,60,3.7,66,extinction,1
1,gasoline,60,4.4,65,extinction,1
1,gasoline,60,9.5,60,extinction,0
1,gasoline,60,11,55,extinction,1
1,gasoline,60,11,52,extinction,1
1,gasoline,60,11.6,51,extinction,1
1,gasoline,60,12.5,50,extinction,1
1,gasoline,60,12.6,48,extinction,1
1,gasoline,60,13.8,47,extinction,1
1,gasoline,60,13.8,46,extinction,1
1,gasoline,60,14.2,45,extinction,1
1,gasoline,60,14.2,44,extinction,1
1,gasoline,60,14.8,42,extinction,1
1,gasoline,60,13.8,40,extinction,1
1,gasoline,60,14.6,38,extinction,1
1,gasoline,60,14.4,36,extinction,1
1,gasoline,60,14.5,35,extinction,1
1,gasoline,60,14.1,34,extinction,1
1,gasoline,60,14.2,33,extinction,1
1,gasoline,60,14.2,32,extinction,1
1,gasoline,60,14,30,extinction,1
1,gasoline,60,13.6,28,extinction,1
1,gasoline,60,13.5,27,extinction,1
1,gasoline,60,12.6,26,extinction,1
1,gasoline,60,12.5,25,extinction,1
1,gasoline,60,12.5,24,extinction,1
1,gasoline,60,12.2,23,extinction,1
1,gasoline,60,12.3,22,extinction,1
1,gasoline,60,12.3,21,extinction,1
1,gasoline,60,12,20,extinction,1
1,gasoline,60,12.2,19,extinction,0
1,gasoline,60,11.9,18,extinction,0
1,gasoline,60,11.5,17,extinction,0
1,gasoline,60,10.9,16,extinction,0
1,gasoline,60,11.2,15,extinction,0
1,gasoline,60,11,14,extinction,0
1,gasoline,60,9.5,13,extinction,0
1,gasoline,60,9.6,12,extinction,0
1,gasoline,60,9.3,11,extinction,0
